player_name,team_code,position,is_pitcher,is_keeper
S. Imanaga,RGS,P,TRUE,FALSE
M. Kelly,DEV,P,TRUE,FALSE
R. Ray,LDY,P,TRUE,FALSE
N. Lodolo,SHO,P,TRUE,FALSE
M. Keller,DKG,P,TRUE,FALSE
I. Anderson,DMK,P,TRUE,FALSE
F. Peralta,DDG,P,TRUE,FALSE
B. Pfaadt,SKD,P,TRUE,FALSE
A. Abbott,RGS,P,TRUE,FALSE
S. Gray,DEV,P,TRUE,FALSE
N. Pivetta,LDY,P,TRUE,FALSE
S. Manea,SHO,P,TRUE,FALSE
Ra. Suarez,DKG,P,TRUE,FALSE
E. Rodriguez,DMK,P,TRUE,FALSE
Z. Gallen,DDG,P,TRUE,FALSE
C. Sanchez,SKD,P,TRUE,FALSE
B. Singer,RGS,P,TRUE,FALSE
D. Peterson,DEV,P,TRUE,FALSE
D. May,LDY,P,TRUE,FALSE
J. Taillon,SHO,P,TRUE,FALSE
J. Verlander,DKG,P,TRUE,FALSE
T. Myers,DMK,P,TRUE,FALSE
M. Gore,DDG,P,TRUE,FALSE
J. Luzardo,SKD,P,TRUE,FALSE
J. Jones,RGS,P,TRUE,FALSE
R. Lopez,DEV,P,TRUE,FALSE
M. Mikolas,LDY,P,TRUE,FALSE
C. Holmes,SHO,P,TRUE,FALSE
J. Romano,DKG,P,TRUE,FALSE
A.J. Puk,DMK,P,TRUE,FALSE
C. Doval,DDG,P,TRUE,FALSE
D. Bednar,SKD,P,TRUE,FALSE
E. Fedde,RGS,P,TRUE,FALSE
G. Holmes,DEV,P,TRUE,FALSE
C. Quantrill,LDY,P,TRUE,FALSE
N. Cortes,SHO,P,TRUE,FALSE
E. Diaz,DKG,P,TRUE,FALSE
K. Yates,DMK,P,TRUE,FALSE
Ro. Suarez,DDG,P,TRUE,FALSE
T. Megill,SKD,P,TRUE,FALSE
K. Harrison,RGS,P,TRUE,FALSE
J. Martinez,DEV,P,TRUE,FALSE
E. Philips,LDY,P,TRUE,FALSE
K. Finnegan,SHO,P,TRUE,FALSE
T. Scott,DKG,P,TRUE,FALSE
R. Pressly,DMK,P,TRUE,FALSE
R. Helsley,DDG,P,TRUE,FALSE
A. Diaz,SKD,P,TRUE,FALSE
C. Faucher,RGS,P,TRUE,FALSE
R. Walker,DEV,P,TRUE,FALSE
T. Kinley,LDY,P,TRUE,FALSE
R. Iglesias,SHO,P,TRUE,FALSE
